,Code,Number of units,Name of Course,Prerequisite 1,Prerequisite 2,Corequisites
,COM1111,3,COMPUTER FUNDAMENTAL 1,,,
,MAT1171,3,CALCULUS I ,,,
,PHY1104,3,GENERAL PHYSICS I ,,,CALCULUS I 
,LAB1101,1,PHYSICS LABORATORY I ,,,GENERAL PHYSICS I 
,EFL1101,3,EFL 101,,,
,COR1133,3,HUMAN RIGHTS,,,
,COR1129,3,PROGRESSION OF THOUGHT AT PERSIAN CIVILIZATION ,,,
,COM1112,3,COMPUTER FUNDAMENTAL 2 ,COMPUTER FUNDAMENTAL 1,,
,COM1115,1,COMPUTER WORKSHOP I,,,
,MAT1172,3,CALCULUS II ,CALCULUS I ,,
,PHY2105,3,GENERAL PHYSICS III ,CALCULUS I ,GENERAL PHYSICS I ,
,EFL1102,3,EFL 102,EFL 101,,
,COR1131,3,WRITING SKILLS ,,,
,MAT2104,3,DIFFERENTIAL EQUATIONS ,CALCULUS II ,,
,COM2109,3,DISCRETE STRUCTURES ,CALCULUS I ,COMPUTER FUNDAMENTAL 1,
,COM2115,3,DIGITAL LOGIC CIRCUITS ,,,DIGITAL LOGIC CIRCUITS LABORATORY 
,LAB2104,1,DIGITAL LOGIC CIRCUITS LABORATORY ,,,DIGITAL LOGIC CIRCUITS 
,EFL1103,3,EFL 103,EFL 102,,
,COR2106,3,AN INTRODUCTION TO EPISTEMOLOGY AND METHODS OF ACQUIRING KNOWLEDGE,,,
,COR3118,3,MORAL LEADERSHIP  ,,,
,COM3125,3,DATABASE DESIGN & MANAGEMENT ,,,DATA STRUCTURES & ALGORITHMS 
,COM2110,3,DATA STRUCTURES & ALGORITHMS ,COMPUTER FUNDAMENTAL 2 ,DISCRETE STRUCTURES ,
,COM3115,3,COMPUTER ARCHITECTURE ,DIGITAL LOGIC CIRCUITS ,,COMPUTER ARCHITECTURE LAB. 
,LAB3114,1,COMPUTER ARCHITECTURE LAB. ,,,COMPUTER ARCHITECTURE 
,COM2112,1,NETWORK WORKSHOP ,,,
,EFL1104,3,EFL 104,EFL 103,,
,COR2125,3,NATURE OF SCIENCE,,,
,COM2107,3,ADVANCED COMPUTER PROGRAMMING ,COMPUTER FUNDAMENTAL 2 ,DATABASE DESIGN & MANAGEMENT ,
,LAB3116,1,DATABASE LABORATORY,DATABASE DESIGN & MANAGEMENT ,,
,COM3117,3,DESIGN OF ALGORITHMS,DATA STRUCTURES & ALGORITHMS ,,
,COM2116,3,Electronics and Electric Circuits ,GENERAL PHYSICS III ,,Electronics and Electric Circuits LAB
,LAB2117,1,Electronics and Electric Circuits LAB,,,Electronics and Electric Circuits 
,COM2117,3,NETWORK ESSENTIAL ,COMPUTER FUNDAMENTAL 2 ,NETWORK WORKSHOP ,
,COR4130,3,GLOBAL CITIZENSHIP ,,,
,COM3126,3,INFORMATION SYSTEM ANALYSIS AND DESIGN ,COMPUTER FUNDAMENTAL 2 ,DATABASE DESIGN & MANAGEMENT ,
,STA2104,3,PROBABILITY & STATISTICS,CALCULUS I ,,
,COM3119,3,THEORY OF MACHINES & LANGUAGES,DISCRETE STRUCTURES ,,
,COM3127,3,OPERATING SYSTEMS DESIGN ,COMPUTER ARCHITECTURE ,,
,LAB3115,1,COMPUTER NETWORKS LAB. ,NETWORK ESSENTIAL ,,
,COR3126,3,BEYOND THE CULTURE OF CONTEST,,,
,COM4147,1,SCIENTIFIC WRITING,EFL 103,,
,COM4107,3,SOFTWARE ENGINEERING ,INFORMATION SYSTEM ANALYSIS AND DESIGN ,,
,COM4136,3,SYSTEM PROGRAMMING,OPERATING SYSTEMS DESIGN ,,
,COM4115,3,ARTIFICIAL INTELLIGENCE,DESIGN OF ALGORITHMS,,
,COM3129,3,DESIGN PATTERNS & FRAMEWORKS,INFORMATION SYSTEM ANALYSIS AND DESIGN ,ADVANCED COMPUTER PROGRAMMING ,
,COM4114,3,MICRO-PROCESSORS ,COMPUTER ARCHITECTURE ,,
,COM3124,3,COMPUTER NETWORKS ,NETWORK ESSENTIAL ,COMPUTER FUNDAMENTAL 2 ,
,COM4148,3,Mobile Programming,COMPUTER FUNDAMENTAL 2 ,,
,COM4125,3,E-COMMERCE ,NETWORK ESSENTIAL ,,
,COM3130,3,SIGNALS AND SYSTEMS ,DIFFERENTIAL EQUATIONS ,,Electronics and Electric Circuits 
,COM4132,1,RESEARCH METHODS,SCIENTIFIC WRITING,,ENGINEERING ENTREPRENEURSHIP
,COM4146,1,ENGINEERING ENTREPRENEURSHIP,SCIENTIFIC WRITING,,RESEARCH METHODS
,COM4134,3,WEB PROGRAMMING ,ADVANCED COMPUTER PROGRAMMING ,,
,COM4119,3,HUMAN-COMPUTER INTERACTION ,INFORMATION SYSTEM ANALYSIS AND DESIGN ,,
,LAB4104,1,SOFTWARE ENGINEERING LAB,SOFTWARE ENGINEERING ,,
,COM4137,3,FPGA AND SOC ,COMPUTER ARCHITECTURE ,COMPUTER ARCHITECTURE LAB. ,
,COM4144,3,ADVANCED EMBEDDED SYSTEMS,MICRO-PROCESSORS ,,
,LAB4105,1,MICROPROCESSORS & EMBEDDED SYSTEMS LAB,,,ADVANCED EMBEDDED SYSTEMS
,COM4105,3,NETWORK SECURITY ,COMPUTER NETWORKS ,,
,COM4113,3,CLOUD COMPUTING ,COMPUTER NETWORKS ,,CLOUD COMPUTING LABRATORY 
,LAB4114,1,CLOUD COMPUTING LABRATORY ,COMPUTER NETWORKS ,,CLOUD COMPUTING 
,COM4130,3,SOFTWARE QUALITY ASSURANCE ,SOFTWARE ENGINEERING ,,
,COM4106,3,MACHINE LEARNING ,PROBABILITY & STATISTICS,,ARTIFICIAL INTELLIGENCE
,COM4104,3,SYSTEM SIMULATION & MODELLING,PROBABILITY & STATISTICS,COMPUTER FUNDAMENTAL 2 ,
,COR4110,3,Economy and Employment,,,
,COM4108,3,FINAL PROJECT ,RESEARCH METHODS,ENGINEERING ENTREPRENEURSHIP,
,COM4154,3,ENTERPRISE SOFTWARE,SOFTWARE ENGINEERING ,,
,COM4145,3,MECHATRONICS,ADVANCED EMBEDDED SYSTEMS,,
,COM4126,3,NETWORK DESIGN,COMPUTER NETWORKS ,,
